row,area,notes,country_code,iso3,location_type_code,subregion_code,subregion_name,region_code,region_name,more_developed,less_developed,least_developed,less_not_least_developed,high_income,middle_income,upper_middle_income,lower_middle_income,low_income,sub_saharan_africa,wpp_explicit_hiv_model,population_lt_90k,income_level
15,Burundi,NA,108,BDI,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
16,Comoros,NA,174,COM,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
17,Djibouti,NA,262,DJI,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,middle
18,Eritrea,NA,232,ERI,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
19,Ethiopia,NA,231,ETH,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
20,Kenya,NA,404,KEN,4,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,middle
21,Madagascar,NA,450,MDG,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
22,Malawi,NA,454,MWI,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,low
23,Mauritius,1,480,MUS,4,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,middle
24,Mayotte,NA,175,MYT,4,910,Eastern Africa,903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,No,
25,Mozambique,NA,508,MOZ,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,low
26,Réunion,NA,638,REU,4,910,Eastern Africa,903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,No,
27,Rwanda,NA,646,RWA,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,low
28,Seychelles,NA,690,SYC,4,910,Eastern Africa,903,Africa,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,high
29,Somalia,NA,706,SOM,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
30,South Sudan,NA,728,SSD,4,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
