row,variant,area,notes,country_code,period,age,age_interval_width,death_rate,q,p,l,d,L,S,T,e,a,sex
55215,Estimates,Burundi,NA,108,2010-2015,0,1,0.090706741,0.0852,0.9148,1e5,8520,93929.072,0.89511721,5418404.1,54.184041,0.28745,male
55216,Estimates,Burundi,NA,108,2010-2015,1,4,0.013348342,0.0516,0.9484,91480,4720.368,353629.53,0.95744891,5324475.1,58.203706,1.3962924,male
55217,Estimates,Burundi,NA,108,2010-2015,5,5,0.0049320726,0.02436,0.97564,86759.632,2113.4646,428514.5,0.98039069,4970845.5,57.294452,2.5,male
55218,Estimates,Burundi,NA,108,2010-2015,10,5,0.0029698881,0.01474,0.98526,84646.167,1247.6845,420111.63,0.98379571,4542331,53.662572,2.5,male
55219,Estimates,Burundi,NA,108,2010-2015,15,5,0.0037289838,0.01848,0.98152,83398.483,1541.204,413304.02,0.97808618,4122219.4,49.42799,2.606807,male
55220,Estimates,Burundi,NA,108,2010-2015,20,5,0.0051473785,0.02542,0.97458,81857.279,2080.812,404246.94,0.97306883,3708915.4,45.309537,2.5781331,male
55221,Estimates,Burundi,NA,108,2010-2015,25,5,0.0057124527,0.02816684,0.97183316,79776.467,2247.051,393360.1,0.96969642,3304668.5,41.424101,2.5424527,male
55222,Estimates,Burundi,NA,108,2010-2015,30,5,0.0066817834,0.032873957,0.96712604,77529.416,2548.6987,381439.88,0.96328905,2911308.4,37.551016,2.5645623,male
55223,Estimates,Burundi,NA,108,2010-2015,35,5,0.0083258517,0.040800154,0.95919985,74980.717,3059.2248,367436.86,0.95597057,2529868.5,33.740254,2.5592757,male
55224,Estimates,Burundi,NA,108,2010-2015,40,5,0.0096520164,0.047139677,0.95286032,71921.492,3390.3559,351258.82,0.94996898,2162431.6,30.066556,2.5375336,male
55225,Estimates,Burundi,NA,108,2010-2015,45,5,0.010979686,0.053461195,0.9465388,68531.136,3663.7565,333684.99,0.94047542,1811172.8,26.428466,2.5515036,male
55226,Estimates,Burundi,NA,108,2010-2015,50,5,0.013793272,0.066730603,0.9332694,64867.38,4328.6394,313822.53,0.92510746,1477487.8,22.777054,2.5709755,male
55227,Estimates,Burundi,NA,108,2010-2015,55,5,0.01771943,0.084975293,0.91502471,60538.741,5144.2972,290319.56,0.89835932,1163665.3,19.221828,2.5945909,male
55228,Estimates,Burundi,NA,108,2010-2015,60,5,0.025930284,0.12208645,0.87791356,55394.443,6762.9107,260811.29,0.85239748,873345.7,15.765944,2.6103587,male
55229,Estimates,Burundi,NA,108,2010-2015,65,5,0.039004861,0.17830738,0.82169262,48631.533,8671.3612,222314.88,0.78255038,612534.42,12.595417,2.5963659,male
55230,Estimates,Burundi,NA,108,2010-2015,70,5,0.060825938,0.26481484,0.73518516,39960.172,10582.046,173972.6,0.68136872,390219.53,9.7652117,2.5592376,male
55231,Estimates,Burundi,NA,108,2010-2015,75,5,0.095229169,0.38424565,0.61575435,29378.125,11288.417,118539.49,0.54818903,216246.94,7.3608148,2.4884751,male
55232,Estimates,Burundi,NA,108,2010-2015,80,5,0.14915533,0.5357974,0.4642026,18089.708,9692.4187,64982.046,0.334932559698722,97707.452,5.4012729,2.3725344,male
55233,Estimates,Burundi,NA,108,2010-2015,85,15,0.256598481265437,NA,NA,8397.2897,8397.2897,32725.407,NA,32725.407,3.8971392,3.8971392,male
55234,Estimates,Comoros,NA,174,2010-2015,0,1,0.066613678,0.063340391,0.93665961,1e5,6334.0391,95086.164,0.92930106,6120244.8,61.202448,0.22421765,male
55235,Estimates,Comoros,NA,174,2010-2015,1,4,0.0054008509,0.021309364,0.97869064,93665.961,1995.962,369564.37,0.98190554,6025158.6,64.326021,1.4451033,male
55236,Estimates,Comoros,NA,174,2010-2015,5,5,0.0016459468,0.0081919012,0.9918081,91669.999,750.95157,456242.93,0.99330313,5655594.2,61.695149,2.1941405,male
55237,Estimates,Comoros,NA,174,2010-2015,10,5,0.0012642911,0.0063018803,0.99369812,90919.047,572.96095,453187.53,0.99203935,5199351.3,57.186601,2.5431061,male
55238,Estimates,Comoros,NA,174,2010-2015,15,5,0.0020536329,0.010219281,0.98978072,90346.086,923.27203,449579.87,0.98750328,4746163.8,52.533142,2.6707135,male
55239,Estimates,Comoros,NA,174,2010-2015,20,5,0.0029301055,0.014547231,0.98545277,89422.814,1300.8543,443961.59,0.98501026,4296583.9,48.047961,2.5766074,male
55240,Estimates,Comoros,NA,174,2010-2015,25,5,0.0030543644,0.015157335,0.98484266,88121.96,1335.6941,437306.72,0.98403325,3852622.3,43.719208,2.5270716,male
55241,Estimates,Comoros,NA,174,2010-2015,30,5,0.0034414334,0.017064136,0.98293586,86786.266,1480.9326,430324.36,0.98102211,3415315.6,39.353181,2.5643926,male
55242,Estimates,Comoros,NA,174,2010-2015,35,5,0.0043124486,0.021341379,0.97865862,85305.333,1820.5334,422157.71,0.97530006,2984991.2,34.991848,2.6001777,male
55243,Estimates,Comoros,NA,174,2010-2015,40,5,0.0058163429,0.028685047,0.97131495,83484.8,2394.7654000000002,411730.44,0.96595273,2562833.5,30.698205,2.6224986,male
55244,Estimates,Comoros,NA,174,2010-2015,45,5,0.0082285247,0.040357415,0.95964258,81090.034,3272.5842,397712.14,0.95109729,2151103.1,26.527342,2.6354986,male
55245,Estimates,Comoros,NA,174,2010-2015,50,5,0.012120398,0.058916055,0.94108394,77817.45,4584.6972,378262.94,0.9281445,1753390.9,22.532105,2.6390344,male
55246,Estimates,Comoros,NA,174,2010-2015,55,5,0.018148668,0.087005915,0.91299409,73232.753,6371.6827,351082.67,0.89361297,1375128,18.7775,2.6331061,male
55247,Estimates,Comoros,NA,174,2010-2015,60,5,0.027508806,0.1290795,0.8709205,66861.07,8630.3934,313732.03,0.8433207,1024045.3,15.316018,2.6161777,male
55248,Estimates,Comoros,NA,174,2010-2015,65,5,0.041691508,0.1894294,0.8105706,58230.677,11030.602,264576.71,0.77024394,710313.31,12.198266,2.5906419,male
55249,Estimates,Comoros,NA,174,2010-2015,70,5,0.064506731,0.27851094,0.72148906,47200.075,13145.737,203788.61,0.66603547,445736.6,9.443557,2.5496419,male
55250,Estimates,Comoros,NA,174,2010-2015,75,5,0.10079004,0.40171905,0.59828095,34054.338,13680.276,135730.44,0.53048602,241947.99,7.1047626,2.4751061,male
55251,Estimates,Comoros,NA,174,2010-2015,80,5,0.15676864,0.55402936,0.44597064,20374.062,11287.828,72003.103,0.322116686189494,106217.54,5.2133711,2.3540344,male
55252,Estimates,Comoros,NA,174,2010-2015,85,15,0.26556719722478,NA,NA,9086.2332,9086.2332,34214.442,NA,34214.442,3.7655253,3.7655253,male
55253,Estimates,Djibouti,NA,262,2010-2015,0,1,0.062879288,0.059921548,0.94007845,1e5,5992.1548,95296.162,0.92816681,6004433.8,60.044338,0.21500053,male
55254,Estimates,Djibouti,NA,262,2010-2015,1,4,0.0078955337,0.030973714,0.96902629,94007.845,2911.7721,368787.25,0.97309575,5909137.7,62.857921,1.5121214,male
55255,Estimates,Djibouti,NA,262,2010-2015,5,5,0.0031156493,0.015445448,0.98455455,91096.073,1407.0197,451597.59,0.98809779,5540350.4,60.818762,2.240426,male
55256,Estimates,Djibouti,NA,262,2010-2015,10,5,0.0020143689,0.010021924,0.98997808,89689.053,898.85689,446222.58,0.98827653,5088752.8,56.737725,2.5272106,male
55257,Estimates,Djibouti,NA,262,2010-2015,15,5,0.0028308469,0.014059873,0.98594013,88790.196,1248.3789,440991.31,0.98327037,4642530.2,52.286518,2.6291844,male
55258,Estimates,Djibouti,NA,262,2010-2015,20,5,0.0038650233,0.019144302,0.9808557,87541.818,1675.927,433613.68,0.97985111,4201538.9,47.99465,2.5563345,male
55259,Estimates,Djibouti,NA,262,2010-2015,25,5,0.0042629819,0.021093851,0.97890615,85865.891,1811.2423,424876.85,0.97719136,3767925.3,43.881514,2.5416858,male
55260,Estimates,Djibouti,NA,262,2010-2015,30,5,0.0050521115,0.024954788,0.97504521,84054.648,2097.5659,415185.99,0.97177728,3343048.4,39.77232,2.5746869,male
55261,Estimates,Djibouti,NA,262,2010-2015,35,5,0.0064580099,0.031792278,0.96820772,81957.082,2605.6023,403468.31,0.9650347,2927862.4,35.724337,2.5755694,male
55262,Estimates,Djibouti,NA,262,2010-2015,40,5,0.0077193816,0.037877371,0.96212263,79351.48,3005.6255,389360.92,0.95906036,2524394.1,31.812817,2.5391203,male
55263,Estimates,Djibouti,NA,262,2010-2015,45,5,0.0091650284,0.04482772,0.95517228,76345.855,3422.4106,373420.62,0.94932024,2135033.2,27.96528,2.5722815,male
55264,Estimates,Djibouti,NA,262,2010-2015,50,5,0.011775414,0.057242694,0.94275731,72923.444,4174.3344,354495.75,0.93621917,1761612.6,24.157013,2.5753105,male
55265,Estimates,Djibouti,NA,262,2010-2015,55,5,0.01489602,0.071910405,0.9280896,68749.11,4943.7763,331885.72,0.9133916,1407116.8,20.467419,2.601059,male
55266,Estimates,Djibouti,NA,262,2010-2015,60,5,0.022088144,0.10494163,0.89505837,63805.333,6695.8358,303141.63,0.87204213,1075231.1,16.851743,2.6276244,male
55267,Estimates,Djibouti,NA,262,2010-2015,65,5,0.033571545,0.15539822,0.84460178,57109.497,8874.7143,264352.27,0.80947437,772089.46,13.519458,2.6117299,male
55268,Estimates,Djibouti,NA,262,2010-2015,70,5,0.052576387,0.23324727,0.76675273,48234.783,11250.631,213986.39,0.71547245,507737.19,10.52637,2.5834665,male
55269,Estimates,Djibouti,NA,262,2010-2015,75,5,0.083800685,0.34690533,0.65309467,36984.152,12829.999,153101.36,0.58632899,293750.8,7.9426129,2.5199223,male
