Location,fips,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*"
"Abbeville County, South Carolina",45001,1047.7799999999997,1003.0999999999999,972.5099999999999,990.14,956.8000000000001,886.6399999999999,863.4699999999998,869.27
"Acadia Parish, Louisiana",22001,1229.46,1212.86,1161.9799999999998,1214.15,1172.24,1158.5499999999997,1074.25,1083.95
"Accomack County, Virginia",51001,1250.9300000000003,1211.76,1134.18,1133.0400000000002,1089.67,1038.31,973.6,974.07
"Ada County, Idaho",16001,982.44,944.72,886.72,860.8599999999999,829.0400000000001,784.5999999999999,713.98,720.2899999999998
"Adair County, Iowa",19001,910.0600000000001,884.4000000000001,852.7600000000001,867.4599999999999,852.4600000000002,833.15,806.9,807.6600000000001
"Adair County, Kentucky",21001,1087.4700000000005,1061.78,1045.0100000000002,1037.67,1021.3800000000001,970.14,916.79,929.49
"Adair County, Missouri",29001,1026.9399999999998,998.0999999999997,957.87,972.72,964.2700000000001,947.7,878.6700000000001,899.68
"Adair County, Oklahoma",40001,1240.71,1248.2899999999997,1238.39,1229.9600000000003,1216.3899999999999,1175.88,1116.5700000000004,1104.7199999999998
"Adams County, Colorado",8001,995.7500000000001,951.9899999999999,910.78,905.8899999999999,856.5000000000001,804.96,738.99,737.38
"Adams County, Idaho",16003,946.52,894.87,846.43,828.3400000000001,792.6599999999999,759.2499999999999,689.9999999999999,643.3999999999999
"Adams County, Illinois",17001,1135.8500000000001,1065.8600000000001,1021.0899999999999,1007.61,962.79,910.2300000000001,830.9400000000002,841.8299999999999
"Adams County, Indiana",18001,925.8799999999999,904.68,861.3499999999999,865.96,845.77,804.78,766.9099999999999,772.9299999999998
"Adams County, Iowa",19003,967.5400000000001,933.9900000000001,899.9299999999998,898.8500000000001,852.2700000000001,833.31,796.1800000000001,784.34
"Adams County, Mississippi",28001,1289.8000000000002,1239.1699999999998,1198.2700000000002,1208.6799999999998,1182.73,1123.56,1064.3500000000001,1093.1299999999999
"Adams County, Nebraska",31001,939.67,922.1999999999999,878.53,871.5899999999999,837.0599999999998,817.7300000000001,766.63,780.84
"Adams County, North Dakota",38001,973.0600000000002,932.5400000000002,888.93,883.56,851.8299999999999,804.23,738.2800000000001,762.3099999999998
"Adams County, Ohio",39001,1199.7,1174.4199999999998,1138.71,1158.01,1142.93,1103.04,1048.82,1056.76
"Adams County, Pennsylvania",42001,1058.7600000000002,1029.0700000000002,948.04,946.4,897.0400000000001,846.5299999999999,777.02,775.07
"Adams County, Washington",53001,1046.1399999999999,1012.41,956.8199999999999,931.9200000000001,889.6599999999999,833.42,784.3399999999999,796.8100000000002
"Adams County, Wisconsin",55001,994.39,982.1000000000001,944.19,917.5400000000001,906.7700000000001,870.5900000000001,811.95,852.8699999999999
"Addison County, Vermont",50001,1095.46,1026.8600000000001,939.5000000000002,923.83,860.62,786.4500000000002,736.4099999999999,719.26
"Aiken County, South Carolina",45003,1229.72,1190.6000000000001,1119.36,1075.61,1035.38,961.0799999999999,878.34,887.12
"Aitkin County, Minnesota",27001,1055.8500000000001,1005.4999999999999,930.0500000000001,905.9499999999998,846.0899999999998,781.73,721.6099999999999,713.82
"Alachua County, Florida",12001,1102.3000000000002,1060.4799999999998,997.19,977.6400000000002,943.0799999999999,869.59,818.4799999999999,806.8500000000001
"Alamance County, North Carolina",37001,1096.59,1049.76,1016.65,1007.3800000000002,984.7400000000001,923.59,857.95,872.79
"Alameda County, California",6001,1116.4999999999998,1062.43,987.9100000000001,944.5699999999999,851.5899999999999,754.45,659.53,632.5899999999998
"Alamosa County, Colorado",8003,1034.01,1016.3100000000001,983.5300000000001,1004.9300000000001,984.6,958.4300000000001,889.08,914.8000000000001
"Albany County, New York",36001,1103.1099999999997,1052.1399999999999,953.33,947.47,915.39,845.43,758.3899999999999,740.7599999999999
"Albany County, Wyoming",56001,1011.3100000000001,964.9999999999999,910.08,892.3900000000001,854.3199999999999,784.3,739.08,728.09
"Albemarle County, Virginia",51003,1134.8300000000002,1042.05,956.03,929.2299999999999,866.5400000000001,766.8199999999999,688.3100000000002,673.4700000000001
"Alcona County, Michigan",26001,1111.9499999999998,1060.6699999999998,1002.04,997.9800000000001,957.36,887.9299999999998,848.7400000000001,845.1099999999999
"Alcorn County, Mississippi",28003,1048.7500000000002,1059.92,1056.76,1115.41,1151.21,1121.0000000000002,1091.1299999999999,1129.8
"Aleutians East Borough, Alaska",2013,1338.02,1105.44,817.6400000000001,743.54,723.0600000000001,601.64,493.50000000000006,490.17999999999995
"Aleutians West Census Area, Alaska",2016,1338.02,1105.44,817.6400000000001,743.54,723.0600000000001,601.64,493.50000000000006,490.17999999999995
"Alexander County, Illinois",17003,1255.4599999999998,1225.1700000000003,1178.4700000000003,1203.72,1196.3099999999997,1145.6699999999998,1069.26,1100.9200000000003
"Alexander County, North Carolina",37003,1055.72,1012.1400000000002,979.63,989.68,974.3,927.37,872.67,871.26
"Alexandria City, Virginia",51510,1180.0099999999998,1068.55,976.2099999999999,923.15,850.0100000000001,738.04,666.3299999999999,630.38
"Alfalfa County, Oklahoma",40003,969.7500000000001,956.8199999999999,939.91,958.8000000000001,945.4300000000001,917.4100000000002,849.7900000000002,842.57
"Alger County, Michigan",26003,1236.4899999999998,1147.26,1065.33,1015.7400000000001,950.26,872.6100000000001,789.13,773.64
"Allamakee County, Iowa",19005,1008.09,963.7299999999999,923.59,905.6599999999999,871.7799999999999,828.3,754.5799999999999,764.5300000000001
"Allegan County, Michigan",26005,1035.42,992.33,949.27,949.2300000000002,924.12,866.98,819.2,821.1700000000001
"Allegany County, Maryland",24001,1166.9199999999998,1138.8700000000003,1057.8,1052.5800000000002,1012.83,972.9,909.14,912.8
"Allegany County, New York",36003,1059.19,1025.56,963.5699999999999,976.68,949.36,905.0899999999999,810.4199999999998,819.2799999999999
"Alleghany County, North Carolina",37005,1020.7699999999999,992.73,954.63,972.2199999999999,958.6300000000001,888.3200000000002,857.77,849.4699999999998
"Alleghany County, Virginia",51005,1196.9900000000002,1177.1299999999999,1135.19,1136.6399999999999,1095.99,1049.3500000000001,978.4599999999999,987.8500000000001
"Allegheny County, Pennsylvania",42003,1204.4,1098.69,1034.4,996.59,941.4200000000001,914.1899999999998,824.9300000000001,836.22
"Allen County, Indiana",18003,1069.62,1019.0699999999999,982.4800000000001,947.7599999999999,920.8299999999998,866.6500000000001,805.97,851.7599999999999
"Allen County, Kansas",20001,1028.23,1016.98,1004.0199999999999,1032.6599999999999,1007.05,981.2599999999999,943.1100000000001,983.85
"Allen County, Kentucky",21003,1173.96,1144.51,1112.0599999999997,1132.45,1103.0900000000001,1073.71,996.49,1013.49
