Location,fips,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*"
"Aitkin County, Minnesota",27001,2.44,2.53,2.71,2.82,2.77,2.93,2.98,3.0
"Anoka County, Minnesota",27003,1.37,1.39,1.75,1.79,2.42,2.55,3.72,4.0
"Becker County, Minnesota",27005,2.32,2.23,2.34,2.52,2.48,2.8,2.96,2.94
"Beltrami County, Minnesota",27007,2.69,2.68,3.35,3.47,3.94,4.33,4.61,4.56
"Benton County, Minnesota",27009,2.16,2.15,2.71,2.91,3.13,3.87,4.39,5.36
"Big Stone County, Minnesota",27011,2.84,2.63,2.85,2.9,2.9,3.13,3.13,3.34
"Blue Earth County, Minnesota",27013,1.96,1.89,2.0,2.27,2.57,3.16,3.36,3.72
"Brown County, Minnesota",27015,1.46,1.34,1.34,1.37,1.34,1.47,1.57,1.59
"Carlton County, Minnesota",27017,3.16,3.2,4.47,4.55,4.96,5.66,6.48,6.58
"Carver County, Minnesota",27019,2.04,1.99,2.02,2.26,2.26,2.75,2.97,3.17
"Cass County, Minnesota",27021,3.7,3.65,3.88,4.47,4.41,3.78,3.62,3.73
"Chippewa County, Minnesota",27023,2.22,2.06,2.04,2.13,2.07,2.35,2.44,2.57
"Chisago County, Minnesota",27025,2.04,2.16,2.39,2.62,2.8,3.5,3.85,4.62
"Clay County, Minnesota",27027,1.98,1.96,2.44,2.3,2.29,2.48,2.59,2.64
"Clearwater County, Minnesota",27029,3.0,2.86,3.27,3.35,3.44,3.81,3.89,4.44
"Cook County, Minnesota",27031,5.98,5.06,5.27,5.51,5.38,5.75,5.74,5.32
"Cottonwood County, Minnesota",27033,1.37,1.27,1.33,1.41,1.53,1.66,1.8,1.84
"Crow Wing County, Minnesota",27035,1.99,1.93,2.2,2.32,2.47,2.81,2.82,3.2
