Location,fips,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*"
"Aitkin County, Minnesota",27001,0.55,0.78,1.24,1.97,3.6,6.77,9.14,9.97
"Anoka County, Minnesota",27003,0.39,0.5,0.76,1.08,2.28,4.1,6.13,6.03
"Becker County, Minnesota",27005,0.43,0.55,0.81,1.23,2.08,3.95,5.43,5.62
"Beltrami County, Minnesota",27007,0.49,0.67,1.08,1.65,3.16,6.34,8.75,9.58
"Benton County, Minnesota",27009,0.35,0.46,0.75,1.22,2.07,4.26,5.91,6.23
"Big Stone County, Minnesota",27011,0.51,0.63,0.87,1.3,2.14,3.77,4.94,4.9
"Blue Earth County, Minnesota",27013,0.4,0.44,0.57,0.78,1.3,2.34,2.93,3.21
"Brown County, Minnesota",27015,0.39,0.45,0.56,0.71,1.1,1.87,2.53,2.44
"Carlton County, Minnesota",27017,0.5,0.67,1.11,1.65,3.21,6.26,8.43,9.73
"Carver County, Minnesota",27019,0.37,0.44,0.52,0.72,1.06,2.05,2.51,2.49
"Cass County, Minnesota",27021,0.68,0.99,1.51,2.41,4.79,8.08,11.41,11.92
"Chippewa County, Minnesota",27023,0.48,0.55,0.76,1.03,1.69,3.04,3.97,4.06
"Chisago County, Minnesota",27025,0.38,0.51,0.73,1.07,1.93,3.65,5.3,5.96
"Clay County, Minnesota",27027,0.42,0.58,0.93,1.37,2.45,4.69,6.48,7.27
"Clearwater County, Minnesota",27029,0.51,0.68,1.05,1.58,2.82,5.35,7.12,8.2
"Cook County, Minnesota",27031,0.46,0.6,0.9,1.38,2.48,4.75,5.97,6.3
"Cottonwood County, Minnesota",27033,0.36,0.41,0.53,0.73,1.18,1.95,2.52,2.48
"Crow Wing County, Minnesota",27035,0.42,0.54,0.84,1.29,2.4,4.5,6.27,7.65
"Dakota County, Minnesota",27037,0.42,0.52,0.67,0.87,1.61,2.57,4.23,3.82
"Dodge County, Minnesota",27039,0.32,0.37,0.52,0.74,1.19,2.18,2.88,2.91
"Douglas County, Minnesota",27041,0.38,0.44,0.62,0.86,1.46,2.54,3.3,3.27
