state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
UNITED STATES,Total,239874,219941,142166,59.3,0.3,64.6,0.3,92251,38.5,0.3,41.9,0.3
UNITED STATES,18 to 24,29658,27539,11610,39.1,0.8,42.2,0.8,4721,15.9,0.6,17.1,0.6
UNITED STATES,25 to 34,42321,37061,20914,49.4,0.7,56.4,0.7,10223,24.2,0.6,27.6,0.7
UNITED STATES,35 to 44,39565,34334,22273,56.3,0.7,64.9,0.7,12986,32.8,0.7,37.8,0.7
UNITED STATES,45 to 64,82772,76882,54107,65.4,0.5,70.4,0.5,38111,46,0.5,49.6,0.5
UNITED STATES,65+,45558,44125,33261,73,0.6,75.4,0.6,26210,57.5,0.7,59.4,0.7
ALABAMA,Total,3656,3519,2366,64.7,2.4,67.2,2.4,1497,40.9,2.4,42.5,2.5
ALABAMA,18 to 24,482,449,181,37.4,6.6,40.2,6.9,77,16.1,5,17.2,5.3
ALABAMA,25 to 34,555,519,330,59.4,6.2,63.6,6.3,155,27.9,5.7,29.9,6
ALABAMA,35 to 44,610,566,373,61.1,5.9,65.9,5.9,244,40,5.9,43.2,6.2
ALABAMA,45 to 64,1298,1277,951,73.3,3.7,74.5,3.6,630,48.5,4.1,49.3,4.2
ALABAMA,65+,710,708,532,74.9,4.9,75.1,4.9,390,54.9,5.6,55.1,5.6
ALASKA,Total,521,503,336,64.6,2.5,66.8,2.5,255,49,2.6,50.7,2.7
ALASKA,18 to 24,76,74,34,NA,NA,NA,NA,19,NA,NA,NA,NA
ALASKA,25 to 34,111,107,70,62.7,5.5,65.2,5.5,46,41.3,5.6,42.9,5.7
ALASKA,35 to 44,78,75,47,NA,NA,NA,NA,34,NA,NA,NA,NA
ALASKA,45 to 64,189,184,136,71.8,3.9,74,3.9,113,59.8,4.2,61.6,4.3
ALASKA,65+,66,64,49,NA,NA,NA,NA,43,NA,NA,NA,NA
ARIZONA,Total,4994,4397,2738,54.8,2.1,62.3,2.2,1785,35.7,2.1,40.6,2.2
ARIZONA,18 to 24,514,491,181,35.1,6.4,36.8,6.6,74,14.4,4.7,15.1,4.9
ARIZONA,25 to 34,859,735,411,47.9,5.2,56,5.5,170,19.8,4.1,23.1,4.7
ARIZONA,35 to 44,948,760,458,48.3,4.9,60.3,5.4,245,25.8,4.3,32.2,5.1
ARIZONA,45 to 64,1725,1526,1012,58.7,3.6,66.3,3.7,710,41.1,3.6,46.5,3.9
ARIZONA,65+,947,885,676,71.4,4.4,76.3,4.3,587,61.9,4.8,66.3,4.8
ARKANSAS,Total,2189,2057,1292,59,2.5,62.8,2.6,798,36.5,2.5,38.8,2.6
ARKANSAS,18 to 24,242,230,116,48.2,7.7,50.7,7.9,36,14.7,5.5,15.5,5.7
ARKANSAS,25 to 34,388,347,194,49.9,6.1,55.8,6.4,76,19.6,4.8,21.9,5.3
ARKANSAS,35 to 44,352,313,202,57.4,6.3,64.5,6.5,127,36.2,6.2,40.8,6.7
ARKANSAS,45 to 64,797,767,484,60.7,4.1,63.1,4.2,341,42.8,4.2,44.5,4.3
ARKANSAS,65+,410,401,296,72.2,5.3,73.9,5.3,218,53.1,5.9,54.4,6
CALIFORNIA,Total,29030,24455,14113,48.6,0.9,57.7,1,8949,30.8,0.8,36.6,0.9
CALIFORNIA,18 to 24,4129,3708,1438,34.8,2.2,38.8,2.4,591,14.3,1.6,15.9,1.8
CALIFORNIA,25 to 34,5288,4242,2082,39.4,2,49.1,2.3,917,17.3,1.6,21.6,1.9
CALIFORNIA,35 to 44,5025,3845,2117,42.1,2.1,55.1,2.4,1172,23.3,1.8,30.5,2.2
CALIFORNIA,45 to 64,9672,8163,5377,55.6,1.5,65.9,1.6,3712,38.4,1.5,45.5,1.7
CALIFORNIA,65+,4916,4498,3099,63,2.1,68.9,2.1,2558,52,2.2,56.9,2.2
COLORADO,Total,4009,3732,2654,66.2,2.3,71.1,2.3,2211,55.2,2.4,59.3,2.4
COLORADO,18 to 24,374,347,131,35,7.5,37.7,7.9,64,17.1,5.9,18.4,6.3
COLORADO,25 to 34,853,795,506,59.3,5.1,63.7,5.2,368,43.1,5.2,46.3,5.4
COLORADO,35 to 44,743,658,477,64.3,5.3,72.5,5.3,386,51.9,5.6,58.6,5.8
COLORADO,45 to 64,1317,1217,939,71.3,3.8,77.1,3.7,833,63.3,4,68.4,4
COLORADO,65+,722,715,601,83.2,4.2,84.2,4.1,561,77.6,4.7,78.5,4.7
CONNECTICUT,Total,2783,2560,1668,59.9,2.4,65.1,2.5,1195,43,2.5,46.7,2.6
CONNECTICUT,18 to 24,319,280,112,35.2,7,40.1,7.7,56,17.7,5.6,20.1,6.3
CONNECTICUT,25 to 34,434,387,202,46.5,6.3,52.2,6.7,118,27.2,5.6,30.5,6.2
CONNECTICUT,35 to 44,451,391,246,54.5,6.2,62.8,6.4,150,33.2,5.8,38.3,6.5
CONNECTICUT,45 to 64,1047,991,719,68.6,3.8,72.5,3.7,556,53.1,4.1,56.1,4.2
CONNECTICUT,65+,531,511,389,73.2,5.1,76.1,5,315,59.4,5.6,61.7,5.7
DELAWARE,Total,712,661,442,62,2.4,66.8,2.5,299,42,2.5,45.2,2.6
DELAWARE,18 to 24,78,72,36,NA,NA,NA,NA,12,NA,NA,NA,NA
DELAWARE,25 to 34,120,103,58,48.4,6.1,56.6,6.6,31,25.9,5.4,30.3,6.1
DELAWARE,35 to 44,111,97,62,55.8,6.3,63.7,6.6,36,32.1,6,36.6,6.6
DELAWARE,45 to 64,246,237,171,69.6,3.9,72.3,3.9,123,50.1,4.3,52.1,4.4
DELAWARE,65+,157,152,115,73.2,4.8,75.3,4.7,97,62,5.2,63.7,5.2
DISTRICT OF COLUMBIA,Total,538,480,353,65.6,2.4,73.5,2.4,247,45.8,2.6,51.4,2.7
DISTRICT OF COLUMBIA,18 to 24,69,62,35,NA,NA,NA,NA,17,NA,NA,NA,NA
DISTRICT OF COLUMBIA,25 to 34,168,142,101,60,4.5,70.7,4.5,62,36.8,4.4,43.4,4.9
DISTRICT OF COLUMBIA,35 to 44,82,67,51,NA,NA,NA,NA,35,NA,NA,NA,NA
DISTRICT OF COLUMBIA,45 to 64,139,130,101,72.3,4.5,77.3,4.4,81,58,5,62,5.1
DISTRICT OF COLUMBIA,65+,80,78,66,81.6,5.2,83.7,5,52,64.9,6.3,66.6,6.3
FLORIDA,Total,15414,13879,8691,56.4,1.2,62.6,1.2,6220,40.4,1.2,44.8,1.3
FLORIDA,18 to 24,1406,1301,486,34.5,3.8,37.3,4,229,16.3,2.9,17.6,3.1
FLORIDA,25 to 34,2372,2047,1113,46.9,3,54.4,3.3,613,25.8,2.7,30,3
FLORIDA,35 to 44,2634,2269,1335,50.7,2.9,58.8,3.1,812,30.8,2.7,35.8,3
FLORIDA,45 to 64,5221,4640,3142,60.2,2,67.7,2,2395,45.9,2,51.6,2.2
FLORIDA,65+,3781,3621,2615,69.2,2.2,72.2,2.2,2171,57.4,2.4,60,2.4
GEORGIA,Total,7306,6759,4306,58.9,1.7,63.7,1.8,2919,40,1.7,43.2,1.8
GEORGIA,18 to 24,975,895,376,38.6,4.7,42,5,201,20.6,3.9,22.4,4.2
GEORGIA,25 to 34,1204,1039,622,51.7,4.4,59.9,4.6,334,27.7,3.9,32.2,4.4
GEORGIA,35 to 44,1353,1230,801,59.2,4,65.1,4.1,541,40,4,44,4.3
GEORGIA,45 to 64,2624,2469,1625,61.9,2.9,65.8,2.9,1160,44.2,2.9,47,3
GEORGIA,65+,1151,1126,882,76.6,3.8,78.3,3.7,684,59.4,4.4,60.7,4.4
HAWAII,Total,1035,956,490,47.4,2.5,51.3,2.6,399,38.6,2.4,41.8,2.6
HAWAII,18 to 24,133,125,31,23.4,5.9,24.8,6.2,11,8.2,3.8,8.7,4.1
HAWAII,25 to 34,143,131,55,38.6,6.6,42.2,7,39,27,6,29.4,6.4
HAWAII,35 to 44,181,157,72,39.8,5.9,46,6.4,56,31,5.5,35.8,6.2
HAWAII,45 to 64,353,328,195,55.4,4.3,59.6,4.4,170,48,4.3,51.7,4.4
HAWAII,65+,225,215,136,60.6,5.3,63.5,5.3,124,55.1,5.3,57.7,5.4
IDAHO,Total,1182,1105,671,56.8,2.6,60.7,2.6,462,39.1,2.5,41.8,2.6
IDAHO,18 to 24,181,171,53,29.4,6,31.1,6.3,21,11.8,4.3,12.5,4.5
IDAHO,25 to 34,181,167,94,52,6.6,56.2,6.8,52,28.9,6,31.2,6.4
IDAHO,35 to 44,194,169,96,49.5,6.4,56.9,6.8,51,26,5.6,30,6.3
IDAHO,45 to 64,419,395,271,64.6,4.1,68.4,4.2,207,49.3,4.3,52.2,4.5
IDAHO,65+,206,202,157,75.9,5.3,77.6,5.2,131,63.5,6,64.9,6
ILLINOIS,Total,9757,8951,5716,58.6,1.5,63.9,1.5,3734,38.3,1.5,41.7,1.6
ILLINOIS,18 to 24,1385,1273,519,37.5,3.9,40.7,4.2,191,13.8,2.8,15,3
ILLINOIS,25 to 34,1713,1458,831,48.5,3.7,57,3.9,406,23.7,3.1,27.8,3.5
ILLINOIS,35 to 44,1534,1351,794,51.8,3.9,58.8,4,456,29.7,3.5,33.7,3.9
ILLINOIS,45 to 64,3402,3208,2347,69,2.4,73.2,2.4,1727,50.8,2.6,53.8,2.7
ILLINOIS,65+,1722,1661,1225,71.1,3.3,73.8,3.3,955,55.4,3.6,57.5,3.7
INDIANA,Total,4913,4693,3048,62,2.1,64.9,2.1,1646,33.5,2,35.1,2.1
INDIANA,18 to 24,559,505,268,48,6.3,53.1,6.7,91,16.3,4.7,18,5.1
INDIANA,25 to 34,879,831,487,55.4,5,58.6,5.1,168,19.1,4,20.2,4.2
INDIANA,35 to 44,830,749,464,55.9,5.2,61.9,5.3,208,25.1,4.5,27.8,4.9
INDIANA,45 to 64,1759,1725,1142,64.9,3.4,66.2,3.4,701,39.8,3.5,40.6,3.5
INDIANA,65+,886,883,688,77.6,4.2,77.9,4.2,478,53.9,5,54.1,5
IOWA,Total,2336,2275,1584,67.8,2.4,69.6,2.4,1203,51.5,2.6,52.9,2.6
IOWA,18 to 24,256,250,110,43,7.7,44,7.8,51,19.7,6.2,20.2,6.3
IOWA,25 to 34,445,414,247,55.6,5.8,59.7,6,141,31.6,5.5,33.9,5.8
IOWA,35 to 44,344,329,238,69.1,6.2,72.2,6.1,179,52.1,6.7,54.5,6.8
IOWA,45 to 64,819,810,598,73,3.8,73.8,3.8,488,59.5,4.3,60.2,4.3
IOWA,65+,471,471,390,82.9,4.3,82.9,4.3,345,73.3,5.1,73.3,5.1
KANSAS,Total,2125,1993,1353,63.7,2.6,67.9,2.6,962,45.3,2.7,48.3,2.8
KANSAS,18 to 24,258,240,87,33.7,7.4,36.1,7.8,34,13.3,5.4,14.3,5.7
KANSAS,25 to 34,414,370,217,52.5,6.2,58.8,6.5,108,26,5.5,29.2,6
