fips,pop_2015
01001,54838
01003,202863
01005,26264
01007,22561
01009,57590
01011,10419
01013,20141
01015,115505
01017,33968
01019,25741
01021,43706
01023,13231
01025,24708
01027,13414
01029,14922
01031,50974
01033,54358
01035,12678
01037,10923
01039,37550
01041,13851
01043,81721
01045,49344
01047,40939
01049,71198
01051,80912
01053,37667
01055,102942
01057,16688
01059,31467
01061,26639
01063,8510
01065,15018
01067,17102
01069,104249
01071,52207
01073,660087
01075,13931
01077,92422
01079,33137
01081,156740
01083,91633
01085,10345
01087,19304
01089,352740
01091,19757
01093,30116
01095,94577
01097,414588
01099,21720
01101,227002
01103,119199
01105,9653
01107,20776
01109,33372
01111,22588
01113,58847
01115,86758
01117,208877
01119,13174
01121,81047
01123,40617
01125,204473
01127,64939
01129,16812
01131,10901
01133,23918
02013,3346
02016,5818
02020,298018
02050,17951
02060,904
02068,1931
02070,4993
02090,99643
02100,2516
02105,2159
02110,32612
02122,58067
02130,13680
02150,13753
02158,8200
02164,1595
02170,101064
02180,9869
02185,9780
02188,7752
02195,3263
02198,6505
02220,8786
02230,1086
02240,6807
02261,9327
02275,2456
02282,635
02290,5463
04001,70979
04003,126084
04005,138682
04007,52935
04009,37786
04011,9549
04012,20342
04013,4154076
04015,204524
04017,107543
04019,1005323
04021,404069
04023,46191
04025,220621
04027,203558
05001,18350
05003,20837
05005,41118
05007,251016
05009,37091
05011,10998
05013,5201
05015,27751
05017,10957
05019,22506
05021,15197
05023,25358
05025,8284
05027,24089
05029,20912
05031,104297
05033,61877
05035,49040
05037,17240
05039,7529
05041,12029
05043,18617
05045,121113
05047,17739
05049,12121
05051,97734
05053,18016
05055,44301
05057,22103
05059,33478
05061,13375
05063,37010
05065,13480
05067,17376
05069,71822
05071,26126
05073,7016
05075,16700
05077,9679
05079,13877
05081,12420
05083,21713
05085,71268
05087,15696
05089,16209
05091,43919
05093,43717
05095,7453
05097,9022
05099,8515
05101,7860
05103,24312
05105,10299
05107,19562
05109,10830
05111,24010
05113,20203
05115,63559
05117,8301
05119,393107
05121,17417
05123,26636
05125,116304
05127,10544
05129,7828
05131,127387
05133,17250
05135,16817
05137,12380
05139,40073
05141,16769
05143,223851
05145,78835
05147,6718
05149,21482
06001,1637141
06003,1088
06005,37047
06007,224818
06009,44954
06011,21341
06013,1126027
06015,27253
06017,184865
06019,972333
06021,27841
06023,135219
06025,179839
06027,18197
06029,879607
06031,150482
06033,64310
06035,31393
06037,10123248
06039,154423
06041,261718
06043,17649
06045,87318
06047,267406
06049,9050
06051,13954
06053,432774
06055,141507
06057,98715
06059,3160576
06061,373469
06063,18525
06065,2352080
06067,1496130
06069,58364
06071,2120794
06073,3290044
06075,866320
06077,723846
06079,280402
06081,766779
06083,443927
06085,1919220
06087,274299
06089,178472
06091,2994
06093,43351
06095,434751
06097,502096
06099,535000
06101,95524
06103,63128
06105,13092
06107,458601
06109,53589
06111,848925
06113,212428
06115,74201
08001,489822
08003,16305
08005,628834
08007,12382
08009,3552
08011,5893
08013,317968
08014,64796
08015,18582
08017,1811
08019,9233
08021,8061
08023,3569
08025,5597
08027,4439
08029,29902
08031,681618
08033,1980
08035,321484
08037,53664
08039,24553
08041,672453
08043,46204
08045,57691
08047,5791
08049,14685
08051,16166
08053,764
08055,6400
08057,1351
08059,564365
08061,1384
08063,8202
08065,7444
08067,54552
08069,332840
08071,14021
08073,5548
08075,21968
08077,148116
08079,743
08081,12940
08083,25697
08085,40534
08087,28145
08089,18212
08091,4589
08093,16715
08095,4315
08097,17862
08099,11953
08101,163043
08103,6515
08105,11338
08107,24310
08109,6239
08111,688
08113,7785
08115,2370
08117,29852
08119,23377
08121,4787
08123,284382
08125,10064
09001,948116
09003,897626
09005,184349
09007,163698
09009,861594
09011,270266
09013,151717
09015,116496
