country,e0_m,e0_f,childmort_m,childmort_f
Afghanistan,61.054663,63.523138,0.08417688000000012,0.07830410999999993
Albania,75.637123,79.871424,0.017620709999999984,0.015085449999999945
Algeria,74.09850899999999,76.489699,0.03547244999999999,0.0284023699999999
Angola,57.4084,63.0,0.11464169000000013,0.08730749000000015
Antigua and Barbuda,73.286,78.2104,0.01530189999999998,0.007284569999999935
Argentina,72.154715,79.827016,0.018118609999999924,0.013758709999999952
Armenia,70.643928,77.028468,0.01794354999999992,0.014131799999999917
Aruba,72.858401,77.7563,0.019349259999999924,0.01494810000000002
Australia,80.209216,84.405821,0.00508671000000005,0.004058039999999985
Austria,78.369043,83.482672,0.004374009999999928,0.0035416499999999518
Azerbaijan,68.583395,74.551322,0.038782940000000043,0.03244619000000004
Bahamas,72.020152,78.086184,0.014242019999999855,0.01231393000000014
Bahrain,75.609115,77.464889,0.009647569999999939,0.007911349999999984
Bangladesh,69.79124300000001,72.924705,0.04378303000000017,0.038635430000000026
Barbados,72.914417,77.713892,0.012163530000000033,0.009782790000000041
Belarus,66.54424200000001,77.677778,0.005293740000000158,0.004029240000000045
Belgium,77.971372,83.002843,0.00478771999999994,0.0036870800000001758
Belize,67.19054200000001,72.72198399999999,0.018399999999999972,0.014800000000000035
Benin,58.459465,61.356076,0.11031970000000002,0.10088338000000008
Bhutan,68.629133,68.899641,0.04086449000000003,0.03363374000000008
Bolivia (Plurinational State of),65.338674,70.212923,0.0769010699999999,0.06726964999999996
Bosnia and Herzegovina,73.711285,78.818797,0.009621519999999828,0.008309180000000027
Botswana,59.765051,66.067714,0.04925109999999999,0.03964593000000005
Brazil,70.99063100000001,78.35016800000001,0.020181349999999987,0.01657661999999993
Brunei Darussalam,75.125476,78.427587,0.008078249999999954,0.0074595100000000025
Bulgaria,70.833399,77.780098,0.011158369999999973,0.008590459999999966
Burkina Faso,58.021606000000006,59.259948,0.10479404999999997,0.09429957
Burundi,54.184041,58.038872,0.13240368000000002,0.11357125000000001
Cabo Verde,70.1163,73.949999,0.029715599999999953,0.023377309999999984
Cambodia,65.500244,69.546423,0.03873016000000007,0.030877500000000002
Cameroon,55.112042,57.679891000000005,0.10951673000000006,0.09942843000000012
Canada,79.69094,83.777041,0.005857090000000009,0.0048967199999999655
Central African Republic,47.796893,51.016555,0.16531297000000011,0.13476889000000014
Chad,50.518702000000005,52.830583999999995,0.15320104000000012,0.14074403000000002
Channel Islands,78.687283,82.3915,0.008852440000000072,0.009405519999999945
Chile,76.151573,81.31996099999999,0.009278919999999968,0.008348719999999865
China,74.229453,77.234482,0.014366250000000025,0.012569700000000017
"China, Hong Kong SAR",80.481349,86.403049,0.0026800000000000157,0.0023499999999999632
"China, Macao SAR",80.29134,86.19382399999999,0.005547909999999989,0.002580059999999884
"China, Taiwan Province of China",76.412134,82.296498,0.005608030000000097,0.0049579400000000495
Colombia,70.188567,77.388007,0.028554340000000122,0.02160291999999986
Comoros,61.202448,64.501595,0.08330000999999987,0.07210000000000005
Congo,61.017604000000006,64.108317,0.0735074,0.06080039000000004
Costa Rica,76.70173100000001,81.687614,0.01232968000000012,0.010355039999999982
Croatia,73.638571,80.380629,0.005535009999999896,0.0044047999999999865
Cuba,77.103184,81.274558,0.007583030000000157,0.006167899999999893
Curaçao,74.5,80.7,0.013901719999999895,0.010371909999999929
Cyprus,77.686,82.17399999999999,0.005747200000000063,0.004177399999999998
Czechia,75.127595,81.14628499999999,0.003537819999999914,0.0026983500000000715
Côte d'Ivoire,50.354407,53.176525,0.1097220699999999,0.09127595
Dem. People's Republic of Korea,67.166607,74.102523,0.02570020999999989,0.022956509999999986
Democratic Republic of the Congo,56.67175400000001,59.530485999999996,0.12,0.11009175000000004
Denmark,78.09841899999999,82.160852,0.0042967599999998995,0.003879799999999989
Djibouti,60.044338,63.242599,0.08903927,0.07758429999999994
Dominican Republic,70.16,76.45,0.031970000000000054,0.024050000000000016
Ecuador,72.818412,78.373149,0.026863240000000066,0.023904069999999944
Egypt,68.714495,73.045548,0.025212840000000014,0.023083080000000034
El Salvador,67.88630400000001,77.07974399999999,0.021327550000000084,0.018043609999999877
Equatorial Guinea,55.512655,58.409307,0.11445616999999997,0.1027603199999999
Eritrea,61.371452000000005,65.550044,0.06294544999999996,0.05159824000000013
Estonia,71.853563,81.226359,0.0047869500000000675,0.0037295099999999914
Ethiopia,61.917522,65.503913,0.07348865999999998,0.06216110999999991
Fiji,66.93390500000001,72.888664,0.02170110000000003,0.017983030000000122
Finland,77.661541,83.666032,0.002964650000000013,0.0030000000000000027
France,78.75509100000001,84.97614,0.0042770100000000255,0.0037572599999999845
French Guiana,76.1004,82.575,0.012120380000000042,0.009221319999999977
French Polynesia,73.9706,78.5543,0.007970890000000064,0.00716022999999999
Gabon,63.12679,65.811621,0.06266406999999996,0.05274276
Gambia,59.061799,61.642044999999996,0.08025000000000004,0.07010000000000005
Georgia,68.468652,76.96985600000001,0.014086509999999941,0.012062019999999896
Germany,77.935365,82.910876,0.0043710300000000535,0.0036186000000000274
Ghana,60.719741000000006,62.601715000000006,0.07355,0.06240000000000001
Greece,77.95540600000001,83.321924,0.004273419999999861,0.003594619999999993
Grenada,70.782521,75.59100000000001,0.013825899999999947,0.012254199999999993
Guadeloupe,76.830489,83.977241,0.007328119999999938,0.005514479999999988
Guam,76.3666,81.4667,0.011699790000000099,0.010361600000000082
Guatemala,69.219121,75.59710600000001,0.03517356000000005,0.029903840000000015
Guinea,57.453962,58.388705,0.10783998000000006,0.09654861999999997
Guinea-Bissau,54.323676,57.66696999999999,0.14721276999999988,0.12112210000000001
Guyana,64.02716,68.59264,0.04652481999999991,0.035412669999999924
Haiti,60.182362,64.419394,0.08332175000000008,0.07115726999999994
Honduras,70.39073,75.395818,0.04500054000000009,0.03492946999999991
Hungary,71.706862,78.850013,0.0060626599999999975,0.00526376999999989
Iceland,80.579422,83.784913,0.0025332900000000214,0.0018175199999999059
India,66.214484,69.05668399999999,0.05062655999999999,0.05450141999999991
Indonesia,66.613113,70.69675699999999,0.033634299999999895,0.026707899999999896
Iran (Islamic Republic of),73.983677,76.22126999999999,0.018082859999999923,0.01635491
Iraq,66.989016,71.43686600000001,0.04080318000000016,0.03399763000000011
Ireland,78.73002199999999,82.960611,0.00422705000000001,0.0036707800000000956
Israel,80.016233,83.659221,0.00450134000000002,0.003977490000000139
Italy,79.867551,84.66069,0.00379605999999999,0.003326790000000024
Jamaica,73.068499,77.888134,0.01902632999999998,0.016646680000000025
Japan,79.98138,86.441197,0.0031813800000000114,0.002924780000000071
Jordan,72.207734,75.516998,0.021249219999999958,0.018269800000000003
Kazakhstan,64.288521,73.869906,0.019709609999999933,0.015070640000000024
Kenya,63.039919,67.786289,0.060253230000000046,0.0500281199999999
Kiribati,62.4308,68.93319699999999,0.07471901000000003,0.045021549999999966
Kuwait,73.459251,75.48370899999999,0.01173367000000003,0.009568849999999962
Kyrgyzstan,66.354322,74.288371,0.025309589999999993,0.020544210000000063
Lao People's Democratic Republic,63.922898,66.84239699999999,0.06438983000000009,0.057283809999999935
Latvia,68.79,78.69,0.008775369999999949,0.006750000000000034
Lebanon,77.2825,80.8746,0.010331159999999895,0.011008999999999936
Lesotho,50.062121999999995,54.712653,0.08851281999999994,0.07162820000000003
Liberia,59.791091,61.595668999999994,0.08474999999999999,0.07420000000000004
Libya,68.79145799999999,74.407775,0.03292930999999999,0.024297780000000047
Lithuania,68.46907900000001,79.33422900000001,0.0059936500000000725,0.004811469999999929
Luxembourg,78.755837,83.451553,0.00438375000000002,0.003436430000000157
Madagascar,63.0209,66.0008,0.05821576000000006,0.05067624000000015
Malawi,58.242631,63.071373,0.08926440999999996,0.08128226999999999
Malaysia,72.609796,77.125672,0.008822540000000045,0.007213000000000025
Maldives,75.375733,77.44045600000001,0.011529140000000049,0.00937839000000007
Mali,55.591234,56.86942,0.13108779999999998,0.11880000000000002
Malta,78.553657,81.981137,0.005632100000000029,0.005926940000000047
Martinique,77.78920600000001,84.357726,0.008511509999999944,0.006239439999999985
Mauritania,61.18569599999999,64.075007,0.10060399999999992,0.08412444000000008
Mauritius,70.668161,77.74394699999999,0.01548000000000005,0.012870000000000048
Mayotte,76.03996,82.901938,0.005283150000000014,0.004325079999999981
Mexico,74.044961,78.928709,0.025923959999999968,0.020361390000000146
Micronesia (Fed. States of),67.720001,69.847199,0.04143094000000003,0.04000565999999994
Mongolia,64.515466,72.702425,0.03051912000000001,0.025612049999999997
Montenegro,73.975988,78.770837,0.007927440000000008,0.006472030000000073
Morocco,73.700002,75.970162,0.03546673000000011,0.030123119999999948
Mozambique,53.965472,58.080752000000004,0.11134263000000011,0.09492644000000006
Myanmar,63.7121,68.259905,0.06581328000000009,0.04885834
Namibia,59.069235,64.284785,0.0546414999999999,0.035862669999999874
Nepal,67.4107,70.445103,0.043087960000000036,0.037076169999999964
Netherlands,79.359597,83.139441,0.004530910000000055,0.0037231100000000295
New Caledonia,73.658,79.3128,0.017215610000000048,0.012866340000000087
New Zealand,79.495216,83.10701,0.005803969999999992,0.004698670000000016
Nicaragua,71.382704,77.476974,0.026100000000000012,0.02080000000000004
Niger,57.638146,59.491690000000006,0.12331208999999999,0.11537421999999986
Nigeria,51.164805,52.608136,0.12619961999999996,0.11796529000000011
Norway,79.52725,83.633072,0.003180809999999923,0.002693659999999931
Oman,74.460105,78.700365,0.011933209999999916,0.010449940000000102
Pakistan,64.972938,66.819475,0.09008468999999997,0.08292253999999999
Panama,74.337441,80.485399,0.022179999999999978,0.017043840000000032
Papua New Guinea,62.620346999999995,67.44998199999999,0.06744041999999983,0.05829723000000009
Paraguay,70.7,74.92,0.03983000000000003,0.029290000000000038
Peru,71.53981,76.83944,0.033340000000000036,0.02461000000000002
Philippines,65.373622,72.117365,0.03261733999999994,0.02542084
Poland,72.92598000000001,80.972462,0.005806080000000047,0.004830340000000044
Portugal,77.338489,83.52933399999999,0.0038293499999999536,0.003367380000000142
Puerto Rico,75.18780600000001,83.16819699999999,0.0077667100000000655,0.006625070000000011
Qatar,76.846876,79.36243,0.008773549999999908,0.00840896999999996
Republic of Korea,77.874593,84.42774,0.00403973000000013,0.0034042800000001483
Republic of Moldova,66.74455999999999,75.210273,0.018557369999999906,0.014549999999999952
Romania,71.347437,78.370701,0.011840500000000032,0.008837010000000034
