fips,num_in_migrants,county_name,state,pop_2015,imr
1001,1794,Autauga County,AL,54838,0.03271454101170721
1003,3521,Baldwin County,AL,202863,0.017356541113953752
1005,294,Barbour County,AL,26264,0.011194029850746268
1007,494,Bibb County,AL,22561,0.021896192544656707
1009,1501,Blount County,AL,57590,0.026063552700121548
1011,61,Bullock County,AL,10419,0.005854688549764853
1013,150,Butler County,AL,20141,0.007447495159128147
1015,1794,Calhoun County,AL,115505,0.015531795160382668
1017,921,Chambers County,AL,33968,0.027113754121526144
1019,438,Cherokee County,AL,25741,0.01701565595742201
1021,828,Chilton County,AL,43706,0.018944767308836315
1023,51,Choctaw County,AL,13231,0.0038545839316756103
1025,292,Clarke County,AL,24708,0.011818034644649505
1027,179,Clay County,AL,13414,0.013344267183539586
1029,254,Cleburne County,AL,14922,0.017021846937407853
1031,1251,Coffee County,AL,50974,0.024541923333464118
1033,1273,Colbert County,AL,54358,0.02341881599764524
1035,143,Conecuh County,AL,12678,0.011279381605931536
1037,314,Coosa County,AL,10923,0.028746681314657147
1039,378,Covington County,AL,37550,0.010066577896138481
1041,302,Crenshaw County,AL,13851,0.02180347989314851
1043,1410,Cullman County,AL,81721,0.017253827045679813
1045,1581,Dale County,AL,49344,0.032040369649805445
1047,279,Dallas County,AL,40939,0.0068150174650089155
1049,1503,DeKalb County,AL,71198,0.02111014354335796
1051,2351,Elmore County,AL,80912,0.02905625865137433
1053,626,Escambia County,AL,37667,0.016619321952903072
1055,1493,Etowah County,AL,102942,0.014503312544928213
1057,264,Fayette County,AL,16688,0.015819750719079578
1059,634,Franklin County,AL,31467,0.020148091651571488
1061,603,Geneva County,AL,26639,0.02263598483426555
1063,128,Greene County,AL,8510,0.015041128084606345
1065,379,Hale County,AL,15018,0.025236383007058195
1067,461,Henry County,AL,17102,0.0269559115892878
1069,2168,Houston County,AL,104249,0.020796362555036498
1071,815,Jackson County,AL,52207,0.015610933399735667
1073,12374,Jefferson County,AL,660087,0.01874601378303163
1075,140,Lamar County,AL,13931,0.010049529825568875
